"id","median_house_value","median_income","housing_median_age","total_rooms","total_bedrooms","population","households","latitude","longitude"
1,13.0227640121816,8.3252,41,880,129,322,126,37.88,-122.23
2,12.7896839390218,8.3014,21,7099,1106,2401,1138,37.86,-122.22
3,12.7716705051431,7.2574,52,1467,190,496,177,37.85,-122.24
6,12.5050655091278,4.0368,52,919,213,413,193,37.85,-122.25
7,12.6088675250825,3.6591,52,2535,489,1094,514,37.84,-122.25
11,12.5478877265619,3.2031,52,2202,434,910,402,37.85,-122.26
13,12.2713921116508,3.075,52,2491,474,1098,468,37.85,-122.26
14,12.1615981554283,2.6736,52,696,191,345,174,37.84,-122.26
16,11.8493977015914,2.125,50,1120,283,697,264,37.85,-122.26
17,11.9349198750296,2.775,52,1966,347,793,331,37.85,-122.27
18,11.9544010106014,2.1202,52,1228,293,648,303,37.85,-122.27
19,11.9747709065145,1.9911,50,2239,455,990,419,37.84,-122.26
20,12.0008917945901,2.6033,52,1503,298,690,275,37.84,-122.27
21,11.901583454762,1.3578,40,751,184,409,166,37.85,-122.27
22,11.9816783123143,1.7135,42,1639,367,929,366,37.85,-122.27
23,11.6430761494353,1.725,52,2436,541,1015,478,37.84,-122.27
24,11.5099209559499,2.1806,52,1688,337,853,325,37.84,-122.27
25,11.7950923567339,2.6,52,2224,437,1006,422,37.84,-122.27
26,11.5852461265499,2.4038,41,535,123,317,119,37.85,-122.28
27,11.4489201349943,2.4597,49,1130,244,607,239,37.85,-122.28
28,11.5664662318983,1.808,52,1898,421,1102,397,37.85,-122.28
29,11.5981853089211,1.6424,50,2082,492,1131,473,37.84,-122.28
30,11.7905572015685,1.6875,52,729,160,395,155,37.84,-122.28
31,11.7142323216753,1.9274,49,1916,447,863,378,37.84,-122.28
32,11.6544250272439,1.9615,52,2153,481,1168,441,37.84,-122.28
34,11.5607627943844,1.375,49,1655,366,754,329,37.83,-122.27
35,11.6055046462633,2.7303,51,2665,574,1258,536,37.83,-122.27
37,11.556942350387,1.0972,48,1798,432,987,374,37.83,-122.27
38,11.5511841770873,1.4103,52,1511,390,901,403,37.83,-122.28
39,12.162120758001,3.48,52,1470,330,689,309,37.83,-122.26
40,12.0782392740203,2.5898,52,2432,715,1377,696,37.83,-122.26
41,11.9537577169157,2.0978,52,1665,419,946,395,37.83,-122.26
42,11.9183905730784,1.2852,51,936,311,517,249,37.83,-122.26
43,11.6851966859107,1.025,49,713,202,462,189,37.84,-122.26
48,11.8313791960888,1.7348,43,1007,312,558,253,37.82,-122.27
51,12.0546681913709,0.9218,21,896,453,735,438,37.82,-122.27
53,11.4876076569859,1.1108,41,3221,853,1959,720,37.82,-122.27
55,11.3793940723457,1.6098,52,1170,235,701,233,37.82,-122.28
57,11.3793940723457,1.5057,52,1238,288,622,259,37.82,-122.28
58,11.3539297334798,0.8172,52,1489,335,728,244,37.82,-122.28
60,11.0020998412042,2.5625,2,158,43,94,57,37.82,-122.29
61,11.2345334394255,3.3929,52,1121,211,554,187,37.83,-122.29
63,11.3632646904158,0.9011,50,760,190,377,122,37.81,-122.29
64,11.2398035438498,1.191,52,1224,237,521,159,37.81,-122.3
65,11.2050406852009,2.5938,48,828,182,392,133,37.81,-122.3
67,11.343322680584,0.8056,48,1455,354,788,332,37.81,-122.3
69,11.3504065354725,1.8516,52,572,109,274,82,37.81,-122.3
70,11.7691168703306,0.9802,46,2801,644,1823,611,37.81,-122.29
72,11.4637352207795,0.7286,46,935,297,582,277,37.81,-122.29
74,11.1198828768606,0.4999,46,12,4,18,7,37.81,-122.29
76,12.0867258878976,0.9241,17,1237,462,762,439,37.81,-122.28
82,11.6307085006266,1.1667,52,210,56,183,56,37.81,-122.27
83,11.6307085006266,1.5208,52,340,97,200,87,37.81,-122.28
86,11.4947614943426,2.4083,52,773,143,377,115,37.81,-122.28
87,11.6851966859107,0.977,40,880,451,582,380,37.81,-122.27
88,11.9984332807519,0.76,10,875,348,546,330,37.81,-122.27
90,13.1223653774023,1.2434,52,249,78,396,85,37.8,-122.27
